"user_id","username","password","role","linked_student_id"
"U_S0001","s0001@gsr.edu.in","S0001","student","S0001"
"U_S0002","s0002@gsr.edu.in","S0002","student","S0002"
"U_S0003","s0003@gsr.edu.in","S0003","student","S0003"
"U_S0004","s0004@gsr.edu.in","S0004","student","S0004"
"U_S0005","s0005@gsr.edu.in","S0005","student","S0005"
"U_S0006","s0006@gsr.edu.in","S0006","student","S0006"
"U_S0007","s0007@gsr.edu.in","S0007","student","S0007"
"U_S0008","s0008@gsr.edu.in","S0008","student","S0008"
"U_S0009","s0009@gsr.edu.in","S0009","student","S0009"
"U_S0010","s0010@gsr.edu.in","S0010","student","S0010"
"U_S0011","s0011@gsr.edu.in","S0011","student","S0011"
"U_S0012","s0012@gsr.edu.in","S0012","student","S0012"
"U_S0013","s0013@gsr.edu.in","S0013","student","S0013"
"U_S0014","s0014@gsr.edu.in","S0014","student","S0014"
"U_S0015","s0015@gsr.edu.in","S0015","student","S0015"
"U_S0016","s0016@gsr.edu.in","S0016","student","S0016"
"U_S0017","s0017@gsr.edu.in","S0017","student","S0017"
"U_S0018","s0018@gsr.edu.in","S0018","student","S0018"
"U_S0019","s0019@gsr.edu.in","S0019","student","S0019"
"U_S0020","s0020@gsr.edu.in","S0020","student","S0020"
"U_S0021","s0021@gsr.edu.in","S0021","student","S0021"
"U_S0022","s0022@gsr.edu.in","S0022","student","S0022"
"U_S0023","s0023@gsr.edu.in","S0023","student","S0023"
"U_S0024","s0024@gsr.edu.in","S0024","student","S0024"
"U_S0025","s0025@gsr.edu.in","S0025","student","S0025"
"U_S0026","s0026@gsr.edu.in","S0026","student","S0026"
"U_S0027","s0027@gsr.edu.in","S0027","student","S0027"
"U_S0028","s0028@gsr.edu.in","S0028","student","S0028"
"U_S0029","s0029@gsr.edu.in","S0029","student","S0029"
"U_S0030","s0030@gsr.edu.in","S0030","student","S0030"
"U_S0031","s0031@gsr.edu.in","S0031","student","S0031"
"U_S0032","s0032@gsr.edu.in","S0032","student","S0032"
"U_S0033","s0033@gsr.edu.in","S0033","student","S0033"
"U_S0034","s0034@gsr.edu.in","S0034","student","S0034"
"U_S0035","s0035@gsr.edu.in","S0035","student","S0035"
"U_S0036","s0036@gsr.edu.in","S0036","student","S0036"
"U_S0037","s0037@gsr.edu.in","S0037","student","S0037"
"U_S0038","s0038@gsr.edu.in","S0038","student","S0038"
"U_S0039","s0039@gsr.edu.in","S0039","student","S0039"
"U_S0040","s0040@gsr.edu.in","S0040","student","S0040"
"U_S0041","s0041@gsr.edu.in","S0041","student","S0041"
"U_S0042","s0042@gsr.edu.in","S0042","student","S0042"
"U_S0043","s0043@gsr.edu.in","S0043","student","S0043"
"U_S0044","s0044@gsr.edu.in","S0044","student","S0044"
"U_S0045","s0045@gsr.edu.in","S0045","student","S0045"
"U_S0046","s0046@gsr.edu.in","S0046","student","S0046"
"U_S0047","s0047@gsr.edu.in","S0047","student","S0047"
"U_S0048","s0048@gsr.edu.in","S0048","student","S0048"
"U_S0049","s0049@gsr.edu.in","S0049","student","S0049"
"U_S0050","s0050@gsr.edu.in","S0050","student","S0050"
"U_S0051","s0051@gsr.edu.in","S0051","student","S0051"
"U_S0052","s0052@gsr.edu.in","S0052","student","S0052"
"U_S0053","s0053@gsr.edu.in","S0053","student","S0053"
"U_S0054","s0054@gsr.edu.in","S0054","student","S0054"
"U_S0055","s0055@gsr.edu.in","S0055","student","S0055"
"U_S0056","s0056@gsr.edu.in","S0056","student","S0056"
"U_S0057","s0057@gsr.edu.in","S0057","student","S0057"
"U_S0058","s0058@gsr.edu.in","S0058","student","S0058"
"U_S0059","s0059@gsr.edu.in","S0059","student","S0059"
"U_S0060","s0060@gsr.edu.in","S0060","student","S0060"
"U_S0061","s0061@gsr.edu.in","S0061","student","S0061"
"U_S0062","s0062@gsr.edu.in","S0062","student","S0062"
"U_S0063","s0063@gsr.edu.in","S0063","student","S0063"
"U_S0064","s0064@gsr.edu.in","S0064","student","S0064"
"U_S0065","s0065@gsr.edu.in","S0065","student","S0065"
"U_S0066","s0066@gsr.edu.in","S0066","student","S0066"
"U_S0067","s0067@gsr.edu.in","S0067","student","S0067"
"U_S0068","s0068@gsr.edu.in","S0068","student","S0068"
"U_S0069","s0069@gsr.edu.in","S0069","student","S0069"
"U_S0070","s0070@gsr.edu.in","S0070","student","S0070"
"U_S0071","s0071@gsr.edu.in","S0071","student","S0071"
"U_S0072","s0072@gsr.edu.in","S0072","student","S0072"
"U_S0073","s0073@gsr.edu.in","S0073","student","S0073"
"U_S0074","s0074@gsr.edu.in","S0074","student","S0074"
"U_S0075","s0075@gsr.edu.in","S0075","student","S0075"
"U_S0076","s0076@gsr.edu.in","S0076","student","S0076"
"U_S0077","s0077@gsr.edu.in","S0077","student","S0077"
"U_S0078","s0078@gsr.edu.in","S0078","student","S0078"
"U_S0079","s0079@gsr.edu.in","S0079","student","S0079"
"U_S0080","s0080@gsr.edu.in","S0080","student","S0080"
"U_S0081","s0081@gsr.edu.in","S0081","student","S0081"
"U_S0082","s0082@gsr.edu.in","S0082","student","S0082"
"U_S0083","s0083@gsr.edu.in","S0083","student","S0083"
"U_S0084","s0084@gsr.edu.in","S0084","student","S0084"
"U_S0085","s0085@gsr.edu.in","S0085","student","S0085"
"U_S0086","s0086@gsr.edu.in","S0086","student","S0086"
"U_S0087","s0087@gsr.edu.in","S0087","student","S0087"
"U_S0088","s0088@gsr.edu.in","S0088","student","S0088"
"U_S0089","s0089@gsr.edu.in","S0089","student","S0089"
"U_S0090","s0090@gsr.edu.in","S0090","student","S0090"
"U_S0091","s0091@gsr.edu.in","S0091","student","S0091"
"U_S0092","s0092@gsr.edu.in","S0092","student","S0092"
"U_S0093","s0093@gsr.edu.in","S0093","student","S0093"
"U_S0094","s0094@gsr.edu.in","S0094","student","S0094"
"U_S0095","s0095@gsr.edu.in","S0095","student","S0095"
"U_S0096","s0096@gsr.edu.in","S0096","student","S0096"
"U_S0097","s0097@gsr.edu.in","S0097","student","S0097"
"U_S0098","s0098@gsr.edu.in","S0098","student","S0098"
"U_S0099","s0099@gsr.edu.in","S0099","student","S0099"
"U_S0100","s0100@gsr.edu.in","S0100","student","S0100"
"U_S0101","s0101@gsr.edu.in","S0101","student","S0101"
"U_S0102","s0102@gsr.edu.in","S0102","student","S0102"
"U_S0103","s0103@gsr.edu.in","S0103","student","S0103"
"U_S0104","s0104@gsr.edu.in","S0104","student","S0104"
"U_S0105","s0105@gsr.edu.in","S0105","student","S0105"
"U_S0106","s0106@gsr.edu.in","S0106","student","S0106"
"U_S0107","s0107@gsr.edu.in","S0107","student","S0107"
"U_S0108","s0108@gsr.edu.in","S0108","student","S0108"
