user_id,username,password,role,linked_student_id,department
ADMIN_01,admin,123,admin,,
U_S0001,S0001,S0001,student,S0001,Computer Engineering
U_S0002,S0002,S0002,student,S0002,Computer Engineering
U_S0003,S0003,S0003,student,S0003,Computer Engineering
U_S0004,S0004,S0004,student,S0004,Computer Engineering
U_S0005,S0005,S0005,student,S0005,Computer Engineering
U_S0006,S0006,S0006,student,S0006,Computer Engineering
U_S0007,S0007,S0007,student,S0007,Computer Engineering
U_S0008,S0008,S0008,student,S0008,Computer Engineering
U_S0009,S0009,S0009,student,S0009,Computer Engineering
U_S0010,S0010,S0010,student,S0010,Computer Engineering
U_S0011,S0011,S0011,student,S0011,Computer Engineering
U_S0012,S0012,S0012,student,S0012,Computer Engineering
U_S0013,S0013,S0013,student,S0013,Computer Engineering
U_S0014,S0014,S0014,student,S0014,Computer Engineering
U_S0015,S0015,S0015,student,S0015,Computer Engineering
U_S0016,S0016,S0016,student,S0016,Computer Engineering
U_S0017,S0017,S0017,student,S0017,Computer Engineering
U_S0018,S0018,S0018,student,S0018,Computer Engineering
U_S0019,S0019,S0019,student,S0019,Computer Engineering
U_S0020,S0020,S0020,student,S0020,Computer Engineering
U_S0021,S0021,S0021,student,S0021,Computer Engineering
U_S0022,S0022,S0022,student,S0022,Computer Engineering
U_S0023,S0023,S0023,student,S0023,Computer Engineering
U_S0024,S0024,S0024,student,S0024,Computer Engineering
U_S0025,S0025,S0025,student,S0025,Computer Engineering
U_S0026,S0026,S0026,student,S0026,Computer Engineering
U_S0027,S0027,S0027,student,S0027,Computer Engineering
U_S0028,S0028,S0028,student,S0028,Computer Engineering
U_S0029,S0029,S0029,student,S0029,Computer Engineering
U_S0030,S0030,S0030,student,S0030,Computer Engineering
U_S0031,S0031,S0031,student,S0031,Computer Engineering
U_S0032,S0032,S0032,student,S0032,Computer Engineering
U_S0033,S0033,S0033,student,S0033,Computer Engineering
U_S0034,S0034,S0034,student,S0034,Computer Engineering
U_S0035,S0035,S0035,student,S0035,Computer Engineering
U_S0036,S0036,S0036,student,S0036,Computer Engineering
U_S0037,S0037,S0037,student,S0037,Computer Engineering
U_S0038,S0038,S0038,student,S0038,Computer Engineering
U_S0039,S0039,S0039,student,S0039,Computer Engineering
U_S0040,S0040,S0040,student,S0040,Computer Engineering
U_S0041,S0041,S0041,student,S0041,Computer Engineering
U_S0042,S0042,S0042,student,S0042,Computer Engineering
U_S0043,S0043,S0043,student,S0043,Computer Engineering
U_S0044,S0044,S0044,student,S0044,Computer Engineering
U_S0045,S0045,S0045,student,S0045,Computer Engineering
U_S0046,S0046,S0046,student,S0046,Computer Engineering
U_S0047,S0047,S0047,student,S0047,Computer Engineering
U_S0048,S0048,S0048,student,S0048,Computer Engineering
U_S0049,S0049,S0049,student,S0049,Computer Engineering
U_S0050,S0050,S0050,student,S0050,Computer Engineering
U_S0051,S0051,S0051,student,S0051,Computer Engineering
U_S0052,S0052,S0052,student,S0052,Computer Engineering
U_S0053,S0053,S0053,student,S0053,Computer Engineering
U_S0054,S0054,S0054,student,S0054,Computer Engineering
U_S0055,S0055,S0055,student,S0055,Computer Engineering
U_S0056,S0056,S0056,student,S0056,Computer Engineering
U_S0057,S0057,S0057,student,S0057,Computer Engineering
